Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Tangrowth,Grass,1,100,100,125,50,375,Gourgeist Average Size,Ghost,16,65,90,122,84,311,0,8773,465,711
Electivire,Electric,8,75,123,67,95,360,Gourgeist Large Size,Ghost,16,75,95,122,69,299.5,0,8774,466,711
Magmortar,Fire,2,75,95,67,83,320,Gourgeist Small Size,Ghost,16,55,85,122,99,171,0,8775,467,711
Togekiss,Fairy,11,85,50,95,80,310,Gourgeist Super Size,Ghost,16,85,100,122,54,311,1,8776,468,711
Yanmega,Bug,4,86,76,86,95,343,Haunter,Ghost,16,45,50,45,95,216,0,8777,469,93
Leafeon,Grass,1,65,110,130,95,400,Lampent,Ghost,16,60,40,60,55,160,0,8778,470,608
Glaceon,Ice,10,65,60,110,65,300,Litwick,Ghost,16,50,30,55,20,125,0,8779,471,607
Gliscor,Ground,9,75,95,125,95,390,Mega Banette,Ghost,16,64,165,75,75,284,0,8780,472,354
Mamoswine,Ice,10,110,130,80,80,400,Mega Gengar,Ghost,16,60,65,80,130,205,0,8781,473,94
Porygon-Z,Normal,5,85,80,70,90,325,Mimikyu,Ghost,16,55,90,80,96,321,0,8782,474,778
Gallade,Psychic,14,68,125,65,80,338,Misdreavus,Ghost,16,60,60,60,85,140,0,8783,475,200
Mega Gallade,Psychic,14,68,165,95,110,438,Mismagius,Ghost,16,60,60,60,105,120,0,8784,475,429
Probopass,Rock,15,60,55,145,40,300,Oricorio Sensu Style,Ghost,16,75,70,70,93,198,0,8785,476,741
Dusknoir,Ghost,16,45,100,135,45,325,Palossand,Ghost,16,85,75,110,35,105,0,8786,477,770
Froslass,Ice,10,70,80,70,110,330,Phantump,Ghost,16,43,70,48,38,39,0,8787,478,708
Rotom,Electric,8,50,50,77,91,268,Polteageist,Ghost,16,60,65,65,70,210,0,8788,479,855
Heat Rotom,Electric,8,50,65,107,86,308,Pumpkaboo Average Size,Ghost,16,49,66,70,51,203.5,0,8789,479,710
Wash Rotom,Electric,8,50,65,107,86,308,Pumpkaboo Large Size,Ghost,16,54,66,70,46,203.5,0,8790,479,710
Frost Rotom,Electric,8,50,65,107,86,308,Pumpkaboo Small Size,Ghost,16,44,66,70,56,203.5,0,8791,479,710
Fan Rotom,Electric,8,50,65,107,86,308,Pumpkaboo Super Size,Ghost,16,59,66,70,41,203.5,0,8792,479,710
Mow Rotom,Electric,8,50,65,107,86,308,Sandygast,Ghost,16,55,55,80,15,205,0,8793,479,769
Uxie,Psychic,14,75,75,130,95,375,Shuppet,Ghost,16,44,75,35,45,124,0,8794,480,353
Mesprit,Psychic,14,80,105,105,80,370,Sinistea,Ghost,16,40,45,45,50,75,0,8795,481,854
Azelf,Psychic,14,75,125,70,115,385,Spiritomb,Ghost,16,50,92,108,35,285,0,8796,482,442
Dialga,Steel,12,100,120,120,90,430,Trevenant,Ghost,16,85,110,76,56,207,0,8797,483,709
Palkia,Water,3,90,120,100,100,410,Yamask,Ghost,16,38,30,85,30,63,0,8798,484,562
Heatran,Fire,2,91,90,106,77,364,Banette,Ghost,16,64,115,65,65,219,0,8799,485,354
Regigigas,Normal,5,110,160,110,100,480,Chandelure,Ghost,16,60,55,90,80,285,0,8800,486,609
Giratina Altered Forme,Ghost,16,150,100,120,90,460,Cofagrigus,Ghost,16,58,50,145,30,83,0,8801,487,563
Giratina Origin Forme,Ghost,16,150,120,100,90,460,Cursola,Ghost,16,60,95,50,30,-5,0,8802,487,864
Cresselia,Psychic,14,120,70,120,85,395,Dhelmise,Ghost,16,70,131,100,40,271,0,8803,488,781
Phione,Water,3,80,80,80,80,320,Drifblim,Ghost,16,150,80,44,80,274,0,8804,489,426
Manaphy,Water,3,100,100,100,100,400,Drifloon,Ghost,16,90,50,34,70,144,0,8805,490,425
Darkrai,Dark,6,70,90,90,125,375,Dusclops,Ghost,16,40,70,130,25,85,0,8806,491,356
Shaymin Land Forme,Grass,1,100,100,100,100,400,Dusknoir,Ghost,16,45,100,135,45,225,0,8807,492,477
Shaymin Sky Forme,Grass,1,100,103,75,127,405,Duskull,Ghost,16,20,40,90,25,72,0,8808,492,355
Arceus,Normal,5,120,120,120,120,480,Galarian Corsola,Ghost,16,60,55,100,30,245,0,8809,493,222
Victini,Psychic,14,100,100,100,100,400,Gastly,Ghost,16,30,35,30,80,-25,0,8810,494,92
Snivy,Grass,1,45,45,55,63,208,Gengar,Ghost,16,60,65,60,110,272.5,1,8811,495,94
Servine,Grass,1,60,60,75,83,278,Giratina Altered Forme,Ghost,16,150,100,120,90,430,1,8812,496,487
Serperior,Grass,1,75,75,95,113,358,Giratina Origin Forme,Ghost,16,150,120,100,90,422.5,1,8813,497,487
Tepig,Fire,2,65,63,45,45,218,Gourgeist Average Size,Ghost,16,65,90,122,84,235,1,8814,498,711
Pignite,Fire,2,90,93,55,55,293,Gourgeist Large Size,Ghost,16,75,95,122,69,175,0,8815,499,711
Emboar,Fire,2,110,123,65,65,363,Gourgeist Small Size,Ghost,16,55,85,122,99,115,0,8816,500,711
Oshawott,Water,3,55,55,45,45,200,Gourgeist Super Size,Ghost,16,85,100,122,54,333.5,1,8817,501,711
Dewott,Water,3,75,75,60,60,270,Haunter,Ghost,16,45,50,45,95,160,0,8818,502,93
Samurott,Water,3,95,100,85,70,350,Lampent,Ghost,16,60,40,60,55,15,0,8819,503,608
Patrat,Normal,5,45,55,39,42,181,Litwick,Ghost,16,50,30,55,20,155,0,8820,504,607
Watchog,Normal,5,60,85,69,77,291,Mega Banette,Ghost,16,64,165,75,75,379,1,8821,505,354
Lillipup,Normal,5,45,60,45,55,205,Mega Gengar,Ghost,16,60,65,80,130,335,1,8822,506,94
Herdier,Normal,5,65,80,65,60,270,Mimikyu,Ghost,16,55,90,80,96,321,1,8823,507,778
Stoutland,Normal,5,85,110,90,80,365,Misdreavus,Ghost,16,60,60,60,85,265,0,8824,508,200
Purrloin,Dark,6,41,50,37,66,194,Mismagius,Ghost,16,60,60,60,105,185,0,8825,509,429
Liepard,Dark,6,64,88,50,106,308,Oricorio Sensu Style,Ghost,16,75,70,70,93,132,0,8826,510,741
Pansage,Grass,1,50,53,48,64,215,Palossand,Ghost,16,85,75,110,35,199,0,8827,511,770
Simisage,Grass,1,75,98,63,101,337,Phantump,Ghost,16,43,70,48,38,150,0,8828,512,708
Pansear,Fire,2,50,53,48,64,215,Polteageist,Ghost,16,60,65,65,70,207,0,8829,513,855
Simisear,Fire,2,75,98,63,101,337,Pumpkaboo Average Size,Ghost,16,49,66,70,51,40,0,8830,514,710
Panpour,Water,3,50,53,48,64,215,Pumpkaboo Large Size,Ghost,16,54,66,70,46,209.5,0,8831,515,710
Simipour,Water,3,75,98,63,101,337,Pumpkaboo Small Size,Ghost,16,44,66,70,56,187,0,8832,516,710
Munna,Psychic,14,76,25,45,24,170,Pumpkaboo Super Size,Ghost,16,59,66,70,41,211,1,8833,517,710
Musharna,Psychic,14,116,55,85,29,285,Sandygast,Ghost,16,55,55,80,15,150,0,8834,518,769
Pidove,Normal,5,50,55,50,43,198,Shuppet,Ghost,16,44,75,35,45,199,1,8835,519,353
Tranquill,Normal,5,62,77,62,65,266,Sinistea,Ghost,16,40,45,45,50,180,0,8836,520,854
Unfezant,Normal,5,80,115,80,93,368,Spiritomb,Ghost,16,50,92,108,35,285,0,8837,521,442
Blitzle,Electric,8,45,60,32,76,213,Trevenant,Ghost,16,85,110,76,56,297,1,8838,522,709
Zebstrika,Electric,8,75,100,63,116,354,Yamask,Ghost,16,38,30,85,30,83,0,8839,523,562
Roggenrola,Rock,15,55,75,85,15,230,Banette,Ghost,16,64,115,65,65,234,1,8840,524,354
Boldore,Rock,15,70,105,105,20,300,Chandelure,Ghost,16,60,55,90,80,75,0,8841,525,609
Gigalith,Rock,15,85,135,130,25,375,Cofagrigus,Ghost,16,58,50,145,30,148,0,8842,526,563
Woobat,Psychic,14,65,45,43,72,225,Cursola,Ghost,16,60,95,50,30,190,0,8843,527,864
Swoobat,Psychic,14,67,57,55,114,293,Dhelmise,Ghost,16,70,131,100,40,284,0,8844,528,781
Drilbur,Ground,9,60,85,40,68,253,Drifblim,Ghost,16,150,80,44,80,354,1,8845,529,426
Excadrill,Ground,9,110,135,60,88,393,Drifloon,Ghost,16,90,50,34,70,244,0,8846,530,425
Audino,Normal,5,103,60,86,50,299,Dusclops,Ghost,16,40,70,130,25,265,0,8847,531,356
Mega Audino,Normal,5,103,60,126,50,339,Dusknoir,Ghost,16,45,100,135,45,325,0,8848,531,477
Timburr,Fighting,13,75,80,55,35,245,Duskull,Ghost,16,20,40,90,25,95,0,8849,532,355
Gurdurr,Fighting,13,85,105,85,40,315,Galarian Corsola,Ghost,16,60,55,100,30,140,0,8850,533,222
Conkeldurr,Fighting,13,105,140,95,45,385,Gastly,Ghost,16,30,35,30,80,105,0,8851,534,92
Tympole,Water,3,50,50,40,64,204,Gengar,Ghost,16,60,65,60,110,245,1,8852,535,94
Palpitoad,Water,3,75,65,55,69,264,Giratina Altered Forme,Ghost,16,150,100,120,90,427.5,1,8853,536,487
Seismitoad,Water,3,105,95,75,74,349,Giratina Origin Forme,Ghost,16,150,120,100,90,412.5,1,8854,537,487
Throh,Fighting,13,120,100,85,45,350,Gourgeist Average Size,Ghost,16,65,90,122,84,261,0,8855,538,711
Sawk,Fighting,13,75,125,75,85,360,Gourgeist Large Size,Ghost,16,75,95,122,69,236,0,8856,539,711
Sewaddle,Bug,4,45,53,70,42,210,Gourgeist Small Size,Ghost,16,55,85,122,99,308,1,8857,540,711
Swadloon,Bug,4,55,63,90,42,250,Gourgeist Super Size,Ghost,16,85,100,122,54,298,1,8858,541,711
Leavanny,Bug,4,75,103,80,92,350,Haunter,Ghost,16,45,50,45,95,209.25,0,8859,542,93
Venipede,Bug,4,30,45,59,57,191,Lampent,Ghost,16,60,40,60,55,203.75,1,8860,543,608
Whirlipede,Bug,4,40,55,99,47,241,Litwick,Ghost,16,50,30,55,20,141.25,0,8861,544,607
Scolipede,Bug,4,60,100,89,112,361,Mega Banette,Ghost,16,64,165,75,75,329,0,8862,545,354
Cottonee,Grass,1,40,27,60,66,193,Mega Gengar,Ghost,16,60,65,80,130,321.5,1,8863,546,94
Whimsicott,Grass,1,60,67,85,116,328,Mimikyu,Ghost,16,55,90,80,96,254,0,8864,547,778
Petilil,Grass,1,45,35,50,30,160,Misdreavus,Ghost,16,60,60,60,85,230,1,8865,548,200
Lilligant,Grass,1,70,60,75,90,295,Mismagius,Ghost,16,60,60,60,105,225,0,8866,549,429
Basculin Red-Striped Form,Water,3,70,92,65,98,325,Oricorio Sensu Style,Ghost,16,75,70,70,93,216,0,8867,550,741
Basculin Blue-Striped Form,Water,3,70,92,65,98,325,Palossand,Ghost,16,85,75,110,35,121,0,8868,550,770
Sandile,Ground,9,50,72,35,65,222,Phantump,Ghost,16,43,70,48,38,163,0,8869,551,708
Krokorok,Ground,9,60,82,45,74,261,Polteageist,Ghost,16,60,65,65,70,178,0,8870,552,855
Krookodile,Ground,9,95,117,80,92,384,Pumpkaboo Average Size,Ghost,16,49,66,70,51,177.5,0,8871,553,710
Darumaka,Fire,2,70,90,45,50,255,Pumpkaboo Large Size,Ghost,16,54,66,70,46,56,0,8872,554,710
Galarian Darumaka,Ice,10,70,90,45,50,255,Pumpkaboo Small Size,Ghost,16,44,66,70,56,56,0,8873,554,710
Darmanitan,Fire,2,105,140,55,95,395,Pumpkaboo Super Size,Ghost,16,59,66,70,41,-44,0,8874,555,710
Darmanitan Zen,Fire,2,105,30,105,55,295,Sandygast,Ghost,16,55,55,80,15,175,0,8875,555,769
Darmanitan Galar,Ice,10,105,140,55,95,395,Shuppet,Ghost,16,44,75,35,45,59,0,8876,555,353
Darmanitan Galar Zen,Ice,10,105,160,55,135,455,Sinistea,Ghost,16,40,45,45,50,20,0,8877,555,854
Maractus,Grass,1,75,86,67,60,288,Spiritomb,Ghost,16,50,92,108,35,199,0,8878,556,442
Dwebble,Bug,4,50,65,85,55,255,Trevenant,Ghost,16,85,110,76,56,262,1,8879,557,709
Crustle,Bug,4,70,105,125,45,345,Yamask,Ghost,16,38,30,85,30,130.5,0,8880,558,562
Scraggy,Dark,6,50,75,70,48,243,Banette,Ghost,16,64,115,65,65,159,0,8881,559,354
Scrafty,Dark,6,65,90,115,58,328,Chandelure,Ghost,16,60,55,90,80,105,0,8882,560,609
Sigilyph,Psychic,14,72,58,80,97,307,Cofagrigus,Ghost,16,58,50,145,30,225,0,8883,561,563
Yamask,Ghost,16,38,30,85,30,183,Cursola,Ghost,16,60,95,50,30,175,0,8884,562,864
Galarian Yamask,Ground,9,38,55,85,30,208,Dhelmise,Ghost,16,70,131,100,40,313.5,1,8885,562,781
Cofagrigus,Ghost,16,58,50,145,30,283,Drifblim,Ghost,16,150,80,44,80,254,0,8886,563,426
Tirtouga,Water,3,54,78,103,22,257,Drifloon,Ghost,16,90,50,34,70,166,0,8887,564,425
Carracosta,Water,3,74,108,133,32,347,Dusclops,Ghost,16,40,70,130,25,157,0,8888,565,356
Archen,Rock,15,55,112,45,70,282,Dusknoir,Ghost,16,45,100,135,45,213,0,8889,566,477
Archeops,Rock,15,75,140,65,110,390,Duskull,Ghost,16,20,40,90,25,35,0,8890,567,355
Trubbish,Poison,7,50,50,62,65,227,Galarian Corsola,Ghost,16,60,55,100,30,220,0,8891,568,222
Garbodor,Poison,7,80,95,82,75,332,Gastly,Ghost,16,30,35,30,80,151.25,0,8892,569,92
Zorua,Dark,6,40,65,40,65,210,Gengar,Ghost,16,60,65,60,110,165,0,8893,570,94
Zoroark,Dark,6,60,105,60,105,330,Giratina Altered Forme,Ghost,16,150,100,120,90,250,0,8894,571,487
Minccino,Normal,5,55,50,40,75,220,Giratina Origin Forme,Ghost,16,150,120,100,90,460,1,8895,572,487
Cinccino,Normal,5,75,95,60,115,345,Gourgeist Average Size,Ghost,16,65,90,122,84,361,1,8896,573,711
Gothita,Psychic,14,45,30,50,45,170,Gourgeist Large Size,Ghost,16,75,95,122,69,331,1,8897,574,711
Gothorita,Psychic,14,60,45,70,55,230,Gourgeist Small Size,Ghost,16,55,85,122,99,316,1,8898,575,711
Gothitelle,Psychic,14,70,55,95,65,285,Gourgeist Super Size,Ghost,16,85,100,122,54,306,1,8899,576,711
Solosis,Psychic,14,45,30,40,20,135,Haunter,Ghost,16,45,50,45,95,175,1,8900,577,93
Duosion,Psychic,14,65,40,50,30,185,Lampent,Ghost,16,60,40,60,55,175,0,8901,578,608
Reuniclus,Psychic,14,110,65,75,30,280,Litwick,Ghost,16,50,30,55,20,90,0,8902,579,607
Ducklett,Water,3,62,44,50,55,211,Mega Banette,Ghost,16,64,165,75,75,335,1,8903,580,354
Swanna,Water,3,75,87,63,98,323,Mega Gengar,Ghost,16,60,65,80,130,248,0,8904,581,94
Vanillite,Ice,10,36,50,50,44,180,Mimikyu,Ghost,16,55,90,80,96,271,1,8905,582,778
Vanillish,Ice,10,51,65,65,59,240,Misdreavus,Ghost,16,60,60,60,85,200,0,8906,583,200
Vanilluxe,Ice,10,71,95,85,79,330,Mismagius,Ghost,16,60,60,60,105,190,0,8907,584,429
Deerling,Normal,5,60,60,50,75,245,Oricorio Sensu Style,Ghost,16,75,70,70,93,308,1,8908,585,741
Sawsbuck,Normal,5,80,100,70,95,345,Palossand,Ghost,16,85,75,110,35,305,0,8909,586,770
Emolga,Electric,8,55,75,60,103,293,Phantump,Ghost,16,43,70,48,38,161.5,0,8910,587,708
Karrablast,Bug,4,50,75,45,60,230,Polteageist,Ghost,16,60,65,65,70,222.5,0,8911,588,855
Escavalier,Bug,4,70,135,105,20,330,Pumpkaboo Average Size,Ghost,16,49,66,70,51,101,0,8912,589,710
Foongus,Grass,1,69,55,45,15,184,Pumpkaboo Large Size,Ghost,16,54,66,70,46,208.5,1,8913,590,710
Amoonguss,Grass,1,114,85,70,30,299,Pumpkaboo Small Size,Ghost,16,44,66,70,56,193.5,0,8914,591,710
Frillish,Water,3,55,40,50,40,185,Pumpkaboo Super Size,Ghost,16,59,66,70,41,216,1,8915,592,710
Jellicent,Water,3,100,60,70,60,290,Sandygast,Ghost,16,55,55,80,15,85,0,8916,593,769
Alomomola,Water,3,165,75,80,65,385,Shuppet,Ghost,16,44,75,35,45,124,0,8917,594,353
Joltik,Bug,4,50,47,50,65,212,Sinistea,Ghost,16,40,45,45,50,156.5,0,8918,595,854
Galvantula,Bug,4,70,77,60,108,315,Spiritomb,Ghost,16,50,92,108,35,208,0,8919,596,442
Ferroseed,Grass,1,44,50,91,10,195,Trevenant,Ghost,16,85,110,76,56,302,1,8920,597,709
Ferrothorn,Grass,1,74,94,131,20,319,Yamask,Ghost,16,38,30,85,30,89,0,8921,598,562
Klink,Steel,12,40,55,70,30,195,Banette,Ghost,16,64,115,65,65,254,1,8922,599,354
Klang,Steel,12,60,80,95,50,285,Chandelure,Ghost,16,60,55,90,80,245,0,8923,600,609
Klinklang,Steel,12,60,100,115,90,365,Cofagrigus,Ghost,16,58,50,145,30,183,0,8924,601,563
Tynamo,Electric,8,35,55,40,60,190,Cursola,Ghost,16,60,95,50,30,180,0,8925,602,864
Eelektrik,Electric,8,65,85,70,40,260,Dhelmise,Ghost,16,70,131,100,40,298.5,1,8926,603,781
Eelektross,Electric,8,85,115,80,50,330,Drifblim,Ghost,16,150,80,44,80,124,0,8927,604,426
Elgyem,Psychic,14,55,55,55,30,195,Drifloon,Ghost,16,90,50,34,70,189,0,8928,605,425
Beheeyem,Psychic,14,75,75,75,40,265,Dusclops,Ghost,16,40,70,130,25,190,0,8929,606,356
Litwick,Ghost,16,50,30,55,20,155,Dusknoir,Ghost,16,45,100,135,45,265,1,8930,607,477
Lampent,Ghost,16,60,40,60,55,215,Duskull,Ghost,16,20,40,90,25,95,0,8931,608,355
Chandelure,Ghost,16,60,55,90,80,285,Galarian Corsola,Ghost,16,60,55,100,30,135,0,8932,609,222
Axew,Dragon,17,46,87,60,57,250,Gastly,Ghost,16,30,35,30,80,88,0,8933,610,92
Fraxure,Dragon,17,66,117,70,67,320,Gengar,Ghost,16,60,65,60,110,178,0,8934,611,94
Haxorus,Dragon,17,76,147,90,97,410,Giratina Altered Forme,Ghost,16,150,100,120,90,166,0,8935,612,487
Cubchoo,Ice,10,55,70,40,40,205,Giratina Origin Forme,Ghost,16,150,120,100,90,320,1,8936,613,487
Beartic,Ice,10,95,130,80,50,355,Gourgeist Average Size,Ghost,16,65,90,122,84,101,0,8937,614,711
Cryogonal,Ice,10,80,50,50,105,285,Gourgeist Large Size,Ghost,16,75,95,122,69,261,0,8938,615,711
Shelmet,Bug,4,50,40,85,25,200,Gourgeist Small Size,Ghost,16,55,85,122,99,321,1,8939,616,711
Accelgor,Bug,4,80,70,40,145,335,Gourgeist Super Size,Ghost,16,85,100,122,54,291,0,8940,617,711
Stunfisk,Ground,9,109,66,84,32,291,Haunter,Ghost,16,45,50,45,95,235,0,8941,618,93
Galarian Stunfisk,Ground,9,109,81,99,32,321,Lampent,Ghost,16,60,40,60,55,53,0,8942,618,608
Mienfoo,Fighting,13,45,85,50,65,245,Litwick,Ghost,16,50,30,55,20,112.5,0,8943,619,607
Mienshao,Fighting,13,65,125,60,105,355,Mega Banette,Ghost,16,64,165,75,75,254,0,8944,620,354
Druddigon,Dragon,17,77,120,90,48,335,Mega Gengar,Ghost,16,60,65,80,130,215,0,8945,621,94
Golett,Ground,9,59,74,50,35,218,Mimikyu,Ghost,16,55,90,80,96,247,1,8946,622,778
Golurk,Ground,9,89,124,80,55,348,Misdreavus,Ghost,16,60,60,60,85,265,0,8947,623,200
Pawniard,Dark,6,45,85,70,60,260,Mismagius,Ghost,16,60,60,60,105,115,0,8948,624,429
Bisharp,Dark,6,65,125,100,70,360,Oricorio Sensu Style,Ghost,16,75,70,70,93,58,0,8949,625,741
Bouffalant,Normal,5,95,110,95,55,355,Palossand,Ghost,16,85,75,110,35,305,0,8950,626,770
Rufflet,Normal,5,70,83,50,60,263,Phantump,Ghost,16,43,70,48,38,199,0,8951,627,708
Braviary,Normal,5,100,123,75,80,378,Polteageist,Ghost,16,60,65,65,70,260,0,8952,628,855
Vullaby,Dark,6,70,55,75,60,260,Pumpkaboo Average Size,Ghost,16,49,66,70,51,126,0,8953,629,710
Mandibuzz,Dark,6,110,65,105,80,360,Pumpkaboo Large Size,Ghost,16,54,66,70,46,106,0,8954,630,710
Heatmor,Fire,2,85,97,66,65,313,Pumpkaboo Small Size,Ghost,16,44,66,70,56,42,0,8955,631,710
Durant,Bug,4,58,109,112,109,388,Pumpkaboo Super Size,Ghost,16,59,66,70,41,127,0,8956,632,710
Deino,Dark,6,52,65,50,38,205,Sandygast,Ghost,16,55,55,80,15,75,0,8957,633,769
Zweilous,Dark,6,72,85,70,58,285,Shuppet,Ghost,16,44,75,35,45,29,0,8958,634,353
Hydreigon,Dark,6,92,105,90,98,385,Sinistea,Ghost,16,40,45,45,50,-30,0,8959,635,854
Larvesta,Bug,4,55,85,55,60,255,Spiritomb,Ghost,16,50,92,108,35,200,0,8960,636,442
Volcarona,Bug,4,85,60,65,100,310,Trevenant,Ghost,16,85,110,76,56,267,0,8961,637,709
Cobalion,Steel,12,91,90,129,108,418,Yamask,Ghost,16,38,30,85,30,93,0,8962,638,562
Terrakion,Rock,15,91,129,90,108,418,Banette,Ghost,16,64,115,65,65,180,0,8963,639,354
Virizion,Grass,1,91,90,72,108,361,Chandelure,Ghost,16,60,55,90,80,240,0,8964,640,609
Tornadus Incarnate Forme,Flying,18,79,115,70,111,375,Cofagrigus,Ghost,16,58,50,145,30,168,0,8965,641,563
Tornadus Therian Forme,Flying,18,79,100,80,121,380,Cursola,Ghost,16,60,95,50,30,135,0,8966,641,864
Thundurus Incarnate,Electric,8,79,115,70,111,375,Dhelmise,Ghost,16,70,131,100,40,283.5,0,8967,642,781
Thundurus Therian,Electric,8,79,105,70,101,355,Drifblim,Ghost,16,150,80,44,80,144,0,8968,642,426
Reshiram,Dragon,17,100,120,100,90,410,Drifloon,Ghost,16,90,50,34,70,124,0,8969,643,425
Zekrom,Dragon,17,100,150,120,90,460,Dusclops,Ghost,16,40,70,130,25,115,0,8970,644,356
Landorus Incarnatee,Ground,9,89,125,90,101,405,Dusknoir,Ghost,16,45,100,135,45,200,0,8971,645,477
Landorus Theriane,Ground,9,89,145,90,91,415,Duskull,Ghost,16,20,40,90,25,175,0,8972,645,355
Kyurem,Dragon,17,125,130,90,95,440,Galarian Corsola,Ghost,16,60,55,100,30,115,0,8973,646,222
Black Kyurem,Dragon,17,125,170,100,95,490,Gastly,Ghost,16,30,35,30,80,5,0,8974,646,92
White Kyurem,Dragon,17,125,120,90,95,430,Gengar,Ghost,16,60,65,60,110,175,0,8975,646,94
Keldeo Ordinary Forme,Water,3,91,72,90,108,361,Giratina Altered Forme,Ghost,16,150,100,120,90,424,1,8976,647,487
Keldeo Resolute Forme,Water,3,91,72,90,108,361,Giratina Origin Forme,Ghost,16,150,120,100,90,424,1,8977,647,487
Meloetta Aria Forme,Normal,5,100,77,77,90,344,Gourgeist Average Size,Ghost,16,65,90,122,84,361,1,8978,648,711
Meloetta Pirouette Forme,Normal,5,100,128,90,128,446,Gourgeist Large Size,Ghost,16,75,95,122,69,361,0,8979,648,711
Genesect,Bug,4,71,120,95,99,385,Gourgeist Small Size,Ghost,16,55,85,122,99,241,0,8980,649,711
Chespin,Grass,1,56,61,65,38,220,Gourgeist Super Size,Ghost,16,85,100,122,54,330.5,1,8981,650,711
Quilladin,Grass,1,61,78,95,57,291,Haunter,Ghost,16,45,50,45,95,196,0,8982,651,93
Chesnaught,Grass,1,88,107,122,64,381,Lampent,Ghost,16,60,40,60,55,161.5,0,8983,652,608
Fennekin,Fire,2,40,45,40,60,185,Litwick,Ghost,16,50,30,55,20,155,0,8984,653,607
Braixen,Fire,2,59,59,58,73,249,Mega Banette,Ghost,16,64,165,75,75,320,1,8985,654,354
Delphox,Fire,2,75,69,72,104,320,Mega Gengar,Ghost,16,60,65,80,130,266,0,8986,655,94
Froakie,Water,3,41,56,40,71,208,Mimikyu,Ghost,16,55,90,80,96,265,1,8987,656,778
Frogadier,Water,3,54,63,52,97,266,Misdreavus,Ghost,16,60,60,60,85,202,0,8988,657,200
Greninja,Water,3,72,95,67,122,356,Mismagius,Ghost,16,60,60,60,105,190,0,8989,658,429
Ash-Greninja,Water,3,72,145,67,132,416,Oricorio Sensu Style,Ghost,16,75,70,70,93,163,0,8990,658,741
Bunnelby,Normal,5,38,36,38,57,169,Palossand,Ghost,16,85,75,110,35,305,1,8991,659,770
Diggersby,Normal,5,85,56,77,78,296,Phantump,Ghost,16,43,70,48,38,199,0,8992,660,708
Fletchling,Normal,5,45,50,43,62,200,Polteageist,Ghost,16,60,65,65,70,260,1,8993,661,855
Fletchinder,Fire,2,62,73,55,84,274,Pumpkaboo Average Size,Ghost,16,49,66,70,51,90,0,8994,662,710
Talonflame,Fire,2,78,81,71,126,356,Pumpkaboo Large Size,Ghost,16,54,66,70,46,74,0,8995,663,710
Scatterbug,Bug,4,38,35,40,35,148,Pumpkaboo Small Size,Ghost,16,44,66,70,56,201,1,8996,664,710
Spewpa,Bug,4,45,22,60,29,156,Pumpkaboo Super Size,Ghost,16,59,66,70,41,214,1,8997,665,710
Vivillon,Bug,4,80,52,50,89,271,Sandygast,Ghost,16,55,55,80,15,179,0,8998,666,769
Litleo,Fire,2,62,50,58,72,242,Shuppet,Ghost,16,44,75,35,45,149,0,8999,667,353
Pyroar,Fire,2,86,68,72,106,332,Sinistea,Ghost,16,40,45,45,50,112,0,9000,668,854
Flab̩b̩,Fairy,11,44,38,39,42,163,Spiritomb,Ghost,16,50,92,108,35,209,1,9001,669,442
Floette,Fairy,11,54,45,47,52,198,Trevenant,Ghost,16,85,110,76,56,282,1,9002,670,709
Florges,Fairy,11,78,65,68,75,286,Yamask,Ghost,16,38,30,85,30,118,0,9003,671,562
Skiddo,Grass,1,66,65,48,52,231,Banette,Ghost,16,64,115,65,65,244,1,9004,672,354
Gogoat,Grass,1,123,100,62,68,353,Chandelure,Ghost,16,60,55,90,80,235,0,9005,673,609
Pancham,Fighting,13,67,82,62,43,254,Cofagrigus,Ghost,16,58,50,145,30,201,0,9006,674,563
Pangoro,Fighting,13,95,124,78,58,355,Cursola,Ghost,16,60,95,50,30,111,0,9007,675,864
Furfrou,Normal,5,75,80,60,102,317,Dhelmise,Ghost,16,70,131,100,40,341,1,9008,676,781
Espurr,Psychic,14,62,48,54,68,232,Drifblim,Ghost,16,150,80,44,80,306,1,9009,677,426
Meowstic Male,Psychic,14,74,48,76,104,302,Drifloon,Ghost,16,90,50,34,70,196,0,9010,678,425
Meowstic Female,Psychic,14,74,48,76,104,302,Dusclops,Ghost,16,40,70,130,25,217,0,9011,678,356
Honedge,Steel,12,45,80,100,28,253,Dusknoir,Ghost,16,45,100,135,45,245,0,9012,679,477
Doublade,Steel,12,59,110,150,35,354,Duskull,Ghost,16,20,40,90,25,65,0,9013,680,355
Aegislash Blade,Steel,12,60,150,50,60,320,Galarian Corsola,Ghost,16,60,55,100,30,95,0,9014,681,222
Aegislash Shield,Steel,12,60,50,150,60,320,Gastly,Ghost,16,30,35,30,80,125,0,9015,681,92
Spritzee,Fairy,11,78,52,60,23,213,Gengar,Ghost,16,60,65,60,110,269,1,9016,682,94
Aromatisse,Fairy,11,101,72,72,29,274,Giratina Altered Forme,Ghost,16,150,100,120,90,316,1,9017,683,487
Swirlix,Fairy,11,62,48,66,49,225,Giratina Origin Forme,Ghost,16,150,120,100,90,364,1,9018,684,487
